source_kind,source_id,source_name,target_kind,target_id,target_name,relationship_type,method,confidence,evidence
Document,38128,37/2014/TT-NHNN,Document,46/2010/QH12,46/2010/QH12,THAM_CHIEU,rule,0.9,c tiền Việt Nam ____________________ Căn cứ Luật Ngân hàng Nhà nước Việt Nam số 46/2010/QH12 ; Căn cứ Nghị định số 156/2013/NĐ-CP ngày 11/11/2013 của Chính phủ quy định chứ
Document,73/2016/NĐ-CP,73/2016/NĐ-CP,Document,163441,46/2023/NĐ-CP,THAY_THE_BOI,rule,0.9,ạn khoản đầu tư này. 4. Nghị định này thay thế các văn bản sau: a) Nghị định số 73/2016/NĐ-CP ngày 01 tháng 7 năm 2016 của Chính phủ quy định chi tiết thi hành Luật Kinh doa
Document,169221,43/2024/TT-NHNN,Document,01/2014/TT-NHNN,01/2014/TT-NHNN,THAM_CHIEU,rule,0.9,ều của Thông tư số 01/2014/TT-NHNN ngày 10 tháng 12 năm 2014 của Thống đốc Ngân hàng Nhà nước Việt Nam hướng dẫn v
Document,169221,43/2024/TT-NHNN,Document,01/2014/TT-NHNN,01/2014/TT-NHNN,SUA_DOI_BO_SUNG,rule,0.9,"ngày 09 tháng 8 năm 2024 THÔNG TƯ Sửa đổi, bổ sung một số điều của Thông tư số 01/2014/TT-NHNN ngày 10 tháng 12 năm 2014 của Thống đốc Ngân hàng Nhà nước Việt Nam hướng dẫn v"
Document,01/2014/TT-NHNN,01/2014/TT-NHNN,Document,169221,43/2024/TT-NHNN,THAY_THE_BOI,rule,0.9,"ng tư này.” Điều 2. Thay thế, bổ sung và bãi bỏ một số quy định của Thông tư số 01/2014/TT-NHNN 1. Thay thế Phụ lục số 01, Phụ lục số 03, Phụ lục số 04, Phụ lục số 06, Phụ lục"
Document,30402,202/2012/TT-BTC,Document,67/2011/QH12,67/2011/QH12,THAM_CHIEU,rule,0.9,n viên hành nghề kiểm toán ___________________ Căn cứ Luật Kiểm toán độc lập số 67/2011/QH12 ngày 29 tháng 3 năm 2011; Căn cứ Nghị định số 17/2012/NĐ-CP ngày 13/3/2012 của
Document,27257,44/2011/TT-NHNN,Document,46/2010/QH12,46/2010/QH12,THAM_CHIEU,rule,0.9,"dụng, chi nhánh ngân hàng nước ngoài Căn cứ Luật Ngân hàng Nhà nước Việt Nam số 46/2010/QH12 ngày 16 tháng 6 năm 2010; Căn cứ Luật Các tổ chức tín dụng số 47/2010/QH12 ngày"
Document,143217,66/2020/TT-BTC,Document,05/2019/NĐ-CP,05/2019/NĐ-CP,THAM_CHIEU,rule,0.9,cứ Luật kế toán số 88/2015/QH 13 ngày 20 tháng 11 năm 2015; Căn cứ Nghị định số 05/2019/NĐ-CP ngày 22 thảng 01 năm 2019 của Chính phủ về kiếm toán nội bộ; Căn cứ Nghị định s
Document,150974,08/2021/TT-BTC,Document,05/2019/NĐ-CP,05/2019/NĐ-CP,THAM_CHIEU,rule,0.9,Căn cứ Luật kế toán số 88/2015/QH13 ngày 20 tháng 11 năm 2015; Căn cứ Nghị định 05/2019/NĐ-CP ngày 22 tháng 01 năm 2019 của Chính phủ về kiểm toán nội bộ; Căn cứ Nghị định s
Document,164719,22/2023/TT-NHNN,Document,41/2016/TT-NHNN,41/2016/TT-NHNN,THAM_CHIEU,rule,0.9,"i, bổ sung một số điều của Thông tư số 41/2016/TT-NHNN ngày 30 tháng 12 năm 2016 của Thống đốc Ngân hàng Nhà nước Việt Nam quy định tỷ"
Document,164719,22/2023/TT-NHNN,Document,41/2016/TT-NHNN,41/2016/TT-NHNN,SUA_DOI_BO_SUNG,rule,0.9,"ngày 29 tháng 12 năm 2023 THÔNG TƯ Sửa đổi, bổ sung một số điều của Thông tư số 41/2016/TT-NHNN ngày 30 tháng 12 năm 2016 của Thống đốc Ngân hàng Nhà nước Việt Nam quy định tỷ"
Document,186482,69/2025/TT-NHNN,Document,46/2010/QH12,46/2010/QH12,THAM_CHIEU,rule,0.9,"anh, đơn giản hóa thủ tục hành chính Căn cứ Luật Ngân hàng Nhà nước Việt Nam số 46/2010/QH12; Căn cứ Luật Các tổ chức tín dụng số 32/2024/QH15 được sửa đổi, bổ sung bởi Luậ"
Document,186482,69/2025/TT-NHNN,Document,32/2024/QH15,32/2024/QH15,THAM_CHIEU,rule,0.9,"gân hàng Nhà nước Việt Nam số 46/2010/QH12; Căn cứ Luật Các tổ chức tín dụng số 32/2024/QH15 được sửa đổi, bổ sung bởi Luật số 96/2025/QH15; Căn cứ Nghị định số 26/2025/NĐ-"
Document,186482,69/2025/TT-NHNN,Document,46/2010/QH12,46/2010/QH12,SUA_DOI_BO_SUNG,rule,0.9,"anh, đơn giản hóa thủ tục hành chính Căn cứ Luật Ngân hàng Nhà nước Việt Nam số 46/2010/QH12; Căn cứ Luật Các tổ chức tín dụng số 32/2024/QH15 được sửa đổi, bổ sung bởi Luậ"
Document,186482,69/2025/TT-NHNN,Document,32/2024/QH15,32/2024/QH15,SUA_DOI_BO_SUNG,rule,0.9,"gân hàng Nhà nước Việt Nam số 46/2010/QH12; Căn cứ Luật Các tổ chức tín dụng số 32/2024/QH15 được sửa đổi, bổ sung bởi Luật số 96/2025/QH15; Căn cứ Nghị định số 26/2025/NĐ-"
Document,112924,105/2016/TT-BTC,Document,135/2015/NĐ-CP,135/2015/NĐ-CP,THAM_CHIEU,rule,0.9,"ng, nhiệm vụ, quyền hạn và cơ cấu tổ chức của Bộ Tài chính; Căn cứ Nghị định số 135/2015/NĐ-CP ngày 31 tháng 12 nă"
Document,186888,62/2025/TT-NHNN,Document,46/2010/QH12,46/2010/QH12,THAM_CHIEU,rule,0.9,"hợp tác xã, tổ chức tài chính vi mô Căn cứ Luật Ngân hàng Nhà nước Việt Nam số 46/2010/QH12; Căn cứ Luật Các tổ chức tín dụng số 32/2024/QH15 được sửa đổi, bổ sung bởi Luậ"
Document,186888,62/2025/TT-NHNN,Document,32/2024/QH15,32/2024/QH15,THAM_CHIEU,rule,0.9,"gân hàng Nhà nước Việt Nam số 46/2010/QH12; Căn cứ Luật Các tổ chức tín dụng số 32/2024/QH15 được sửa đổi, bổ sung bởi Luật số 96/2025/QH15; Căn cứ Nghị định số 26/2025/NĐ-"
Document,44/2011/TT-NHNN,44/2011/TT-NHNN,Document,186888,62/2025/TT-NHNN,THAY_THE_BOI,rule,0.9,ày có hiệu lực từ ngày 01 tháng 01 năm 2027. 2. Thông tư này bãi bỏ Thông tư số 44/2011/TT-NHNN ngày 29 tháng 12 năm 2011 của Thống đốc Ngân hàng Nhà nước Việt Nam quy định về
Document,185630,63/2025/TT-NHNN,Document,46/2010/QH12,46/2010/QH12,THAM_CHIEU,rule,0.9,"số Thông tư về quỹ tín dụng nhân dân Căn cứ Luật Ngân hàng Nhà nước Việt Nam số 46/2010/QH12; Căn cứ Luật Các tổ chức tín dụng số 32/2024/QH15 được sửa đổi, bổ sung bởi Luậ"
Document,185630,63/2025/TT-NHNN,Document,32/2024/QH15,32/2024/QH15,THAM_CHIEU,rule,0.9,"gân hàng Nhà nước Việt Nam số 46/2010/QH12; Căn cứ Luật Các tổ chức tín dụng số 32/2024/QH15 được sửa đổi, bổ sung bởi Luật số 96/2025/QH15; Căn cứ Luật Hợp tác xã số 17/20"
Document,185630,63/2025/TT-NHNN,Document,17/2023/QH15,17/2023/QH15,THAM_CHIEU,rule,0.9,"/QH15 được sửa đổi, bổ sung bởi Luật số 96/2025/QH15; Căn cứ Luật Hợp tác xã số 17/2023/QH15; Căn cứ Nghị định số 26/2025/NĐ-CP của Chính phủ quy định chức năng, nhiệm vụ,"
Document,185630,63/2025/TT-NHNN,Document,46/2010/QH12,46/2010/QH12,SUA_DOI_BO_SUNG,rule,0.9,"số Thông tư về quỹ tín dụng nhân dân Căn cứ Luật Ngân hàng Nhà nước Việt Nam số 46/2010/QH12; Căn cứ Luật Các tổ chức tín dụng số 32/2024/QH15 được sửa đổi, bổ sung bởi Luậ"
Document,185630,63/2025/TT-NHNN,Document,32/2024/QH15,32/2024/QH15,SUA_DOI_BO_SUNG,rule,0.9,"gân hàng Nhà nước Việt Nam số 46/2010/QH12; Căn cứ Luật Các tổ chức tín dụng số 32/2024/QH15 được sửa đổi, bổ sung bởi Luật số 96/2025/QH15; Căn cứ Luật Hợp tác xã số 17/20"
Document,185630,63/2025/TT-NHNN,Document,17/2023/QH15,17/2023/QH15,SUA_DOI_BO_SUNG,rule,0.9,"/QH15 được sửa đổi, bổ sung bởi Luật số 96/2025/QH15; Căn cứ Luật Hợp tác xã số 17/2023/QH15; Căn cứ Nghị định số 26/2025/NĐ-CP của Chính phủ quy định chức năng, nhiệm vụ,"
Document,185630,63/2025/TT-NHNN,Document,29/2024/TT-NHNN,29/2024/TT-NHNN,SUA_DOI_BO_SUNG,rule,0.9,"về quỹ tín dụng nhân dân. Chương I SỬA ĐỔI, BỔ SUNG MỘT SỐ ĐIỀU CỦA THÔNG TƯ SỐ 29/2024/TT-NHNN QUY ĐỊNH VỀ QUỸ TÍN DỤNG NHÂN DÂN Điều 1. Sửa đổi, bổ sung điểm d khoản 2 Điều"
Document,185630,63/2025/TT-NHNN,Document,01/2025/TT-NHNN,01/2025/TT-NHNN,SUA_DOI_BO_SUNG,rule,0.9,"án đã được phê duyệt.”. Chương II SỬA ĐỔI, BỔ SUNG MỘT SỐ ĐIỀU CỦA THÔNG TƯ SỐ 01/2025/TT-NHNN QUY ĐỊNH VỀ CẤP GIẤY PHÉP LẦN ĐẦU, CẤP ĐỔI GIẤY PHÉP CỦA QUỸ TÍN DỤNG NHÂN DÂN"
Document,117310,41/2016/TT-NHNN,Document,46/2010/QH12,46/2010/QH12,THAM_CHIEU,rule,0.9,"hàng, chi nhánh ngân hàng nước ngoài Căn cứ Luật Ngân hàng Nhà nước Việt Nam số 46/2010/QH12 ngày 16 tháng 6 năm 2010; Căn cứ Luật các tổ chức tín dụng số 47/2010/QH12 ngày"
Document,44209,01/2014/TT-NHNN,Document,46/2010/QH12,46/2010/QH12,THAM_CHIEU,rule,0.9,"iền mặt, tài sản quý, giấy tờ có giá Căn cứ Luật Ngân hàng Nhà nước Việt Nam số 46/2010/QH12 ngày 16 tháng 6 năm 2010; Căn cứ Luật Các tổ chức tín dụng số 47/2010/QH12 ngày"
Document,166170,32/2024/QH15,Entity,E0004,Quốc hội,BAN_HANH_BOI,metadata,1.0,enriched_metadata.co_quan_ban_hanh = 'Quốc hội' (id=166170)
