source_kind,source_id,source_name,target_kind,target_id,target_name,relationship_type,method,confidence,evidence
Document,7/2010/QH12,7/2010/QH12,Document,166170,32/2024/QH15,THAY_THE_BOI,rule,0.9,"7/2010/QH12 đã được sửa đổi, bổ sung một số điều theo Luật số 17/2017/QH14 cho đến hết nhiệ"
Document,17/2017/QH14,17/2017/QH14,Document,166170,32/2024/QH15,THAY_THE_BOI,rule,0.9,"7/2010/QH12 đã được sửa đổi, bổ sung một số điều theo Luật số 17/2017/QH14 cho đến hết nhiệm kỳ của Ban kiểm soát, thành viên Ban kiểm soát, trừ trường hợ"
Document,38128,37/2014/TT-NHNN,Document,46/2010/QH12,46/2010/QH12,THAM_CHIEU,rule,0.9,c tiền Việt Nam ____________________ Căn cứ Luật Ngân hàng Nhà nước Việt Nam số 46/2010/QH12 ; Căn cứ Nghị định số 156/2013/NĐ-CP ngày 11/11/2013 của Chính phủ quy định chứ
Document,38128,37/2014/TT-NHNN,Document,156/2013/NĐ-CP,156/2013/NĐ-CP,THAM_CHIEU,rule,0.9,"_ Căn cứ Luật Ngân hàng Nhà nước Việt Nam số 46/2010/QH12 ; Căn cứ Nghị định số 156/2013/NĐ-CP ngày 11/11/2013 của Chính phủ quy định chức năng, nhiệm vụ, quyền hạn và cơ cấu"
Document,38128,37/2014/TT-NHNN,Document,40/2012/NĐ-CP,40/2012/NĐ-CP,THAM_CHIEU,rule,0.9,"uyền hạn và cơ cấu tổ chức của Ngân hàng Nhà nước Việt Nam; Căn cứ Nghị định số 40/2012/NĐ-CP ngày 02/5/2012 của Chính phủ về nghiệp vụ phát hành tiền; bảo quản, vận chuyển"
Document,23/2009/TT-NHNN,23/2009/TT-NHNN,Document,38128,37/2014/TT-NHNN,THAY_THE_BOI,rule,0.9,"ư này có hiệu lực thi hành từ ngày 12 tháng 01 năm 2015 và thay thế Thông tư số 23/2009/TT-NHNN ngày 02/12/2009 quy định việc thiết kế mẫu, chế bản và quản lý in, đúc tiền Việ"
Document,26750,67/2011/QH12,Document,51/2001/QH10,51/2001/QH10,THAM_CHIEU,rule,0.9,"nghĩa Việt Nam năm 1992 đã được sửa đổi, bổ sung một số điều theo Nghị quyết số 51/2001/QH10; Quốc hội ban hành Luật Kiểm toán độc lập, Chương I NHỮNG QUY ĐỊNH CHUNG Điều 1"
Document,163441,46/2023/NĐ-CP,Document,08/2022/QH15,08/2022/QH15,THAM_CHIEU,rule,0.9,HOẠT ĐỘNG Kính gửi: Bộ trưởng Bộ Tài chính. Căn cứ Luật Kinh doanh bảo hiểm số 08/2022/QH15 ngày 16/6/2022 và các văn bản hướng dẫn thi hành; Chúng tôi (sau đây gọi là chủ
Document,163441,46/2023/NĐ-CP,Document,14/2023/NĐ-CP,14/2023/NĐ-CP,THAM_CHIEU,rule,0.9,"cứ Luật Kinh doanh bảo hiểm số 08/2022/QH15 ngày 16/6/2022; Căn cứ Nghị định số 14/2023/NĐ-CP ngày 20/4/2023 của Chính phủ quy định chức năng, nhiệm vụ, quyền hạn và cơ cấu"
Document,163441,46/2023/NĐ-CP,Document,16/2022/QH15,16/2022/QH15,THAM_CHIEU,rule,0.9,... tháng ... năm ... BỘ TRƯỞNG BỘ TÀI CHÍNH Căn cứ Luật Kinh doanh bảo hiểm số 16/2022/QH15 ngày 16/6/2022; Căn cứ Nghị định số 14/2023/NĐ-CP ngày 20/4/2023 của Chính phủ
Document,73/2016/NĐ-CP,73/2016/NĐ-CP,Document,163441,46/2023/NĐ-CP,THAY_THE_BOI,rule,0.9,ạn khoản đầu tư này. 4. Nghị định này thay thế các văn bản sau: a) Nghị định số 73/2016/NĐ-CP ngày 01 tháng 7 năm 2016 của Chính phủ quy định chi tiết thi hành Luật Kinh doa
Document,168220,27/2024/TT-NHNN,Document,102/2022/NĐ-CP,102/2022/NĐ-CP,THAM_CHIEU,rule,0.9,"năm 2024; Căn cứ Luật Hợp tác xã ngày 20 tháng 6 năm 2023; Căn cứ Nghị định số 102/2022/NĐ-CP ngày 12 tháng 12 năm 2022 của Chính phủ quy định chức năng, nhiệm vụ, quyền hạn"
